ID,Year,Age_Group,State,Medicare_Medicaid_Status,Race,Sex,Medicare_Enrollment_Status,Age_Grouping,Urban_Rural_Description,Total_Eligible_Users,Total_Medicare_Enrollment,Total_Telehealth_Users,Percentage_of_Medicare_Telehealth_Users
193,2022,All,Alabama,All,All,All,All,All,Urban,294785.0,298536.5,60203.0,0.2042
194,2022,0-64,Alabama,All,All,All,All,0-64,All,63072.0,65335.75,16027.0,0.2541
195,2022,65-74,Alabama,All,All,All,All,65-74,All,178730.0,182387.41667,32970.0,0.1845
196,2022,75-84,Alabama,All,All,All,All,75-84,All,124202.0,124256.66667,23659.0,0.1905
197,2022,85 and over,Alabama,All,All,All,All,85 and over,All,51398.0,49913.25,9523.0,0.1853
198,2022,All,Alabama,All,All,All,Aged,All,All,351586.0,354238.41667,65419.0,0.1861
199,2022,All,Alabama,All,All,All,Disabled,All,All,60076.0,62873.25,15320.0,0.255
200,2022,All,Alabama,All,All,All,ESRD,All,All,5740.0,4781.4166667,1440.0,0.2509
201,2022,All,Alabama,All,All,Female,All,All,All,234457.0,231646.0,50034.0,0.2134
202,2022,All,Alabama,All,All,Male,All,All,All,182945.0,190247.08333,32145.0,0.1757
203,2022,All,Alabama,All,American Indian/Alaska Native,All,All,All,All,358.0,357.83333333,118.0,0.3296
204,2022,All,Alabama,All,Asian/Pacific Islander,All,All,All,All,2629.0,2855.6666667,352.0,0.1339
205,2022,All,Alabama,All,Black/African American,All,All,All,All,66032.0,68310.333333,12319.0,0.1866
206,2022,All,Alabama,All,Hispanic,All,All,All,All,3733.0,4071.0,670.0,0.1795
207,2022,All,Alabama,All,Non-Hispanic White,All,All,All,All,338455.0,339878.16667,67584.0,0.1997
208,2022,All,Alabama,Medicare & Medicaid,All,All,All,All,All,75134.0,72036.5,16546.0,0.2202
209,2022,All,Alabama,Medicare Only,All,All,All,All,All,342268.0,349856.58333,65633.0,0.1918
286,2023,All,Alabama,All,All,All,All,All,All,390715.0,395094.58333,52262.0,0.1338
287,2023,All,Alabama,All,All,All,All,All,Rural,118151.0,119019.83333,14128.0,0.1196
288,2023,All,Alabama,All,All,All,All,All,Urban,271802.0,275265.0,38019.0,0.1399
289,2023,0-64,Alabama,All,All,All,All,0-64,All,52873.0,54912.666667,9458.0,0.1789
290,2023,65-74,Alabama,All,All,All,All,65-74,All,166047.0,169300.66667,20682.0,0.1246
291,2023,75-84,Alabama,All,All,All,All,75-84,All,121754.0,122170.66667,15891.0,0.1305
292,2023,85 and over,Alabama,All,All,All,All,85 and over,All,50041.0,48710.583333,6231.0,0.1245
293,2023,All,Alabama,All,All,All,Aged,All,All,335396.0,338082.41667,42297.0,0.1261
294,2023,All,Alabama,All,All,All,Disabled,All,All,50388.0,52906.833333,9023.0,0.1791
295,2023,All,Alabama,All,All,All,ESRD,All,All,4931.0,4105.3333333,942.0,0.191
296,2023,All,Alabama,All,All,Female,All,All,All,219241.0,216614.33333,31776.0,0.1449
297,2023,All,Alabama,All,All,Male,All,All,All,171474.0,178480.25,20486.0,0.1195
298,2023,All,Alabama,All,American Indian/Alaska Native,All,All,All,All,307.0,322.5,38.0,0.1238
299,2023,All,Alabama,All,Asian/Pacific Islander,All,All,All,All,2545.0,2793.6666667,250.0,0.0982
300,2023,All,Alabama,All,Black/African American,All,All,All,All,57809.0,60049.333333,7679.0,0.1328
301,2023,All,Alabama,All,Hispanic,All,All,All,All,3667.0,4059.5,441.0,0.1203
302,2023,All,Alabama,All,Non-Hispanic White,All,All,All,All,318859.0,320329.0,42871.0,0.1345
303,2023,All,Alabama,Medicare & Medicaid,All,All,All,All,All,65312.0,62535.833333,9993.0,0.153
304,2023,All,Alabama,Medicare Only,All,All,All,All,All,325403.0,332558.75,42269.0,0.1299
417,2020,All,Alaska,All,All,All,All,All,All,79935.0,90235.25,38164.0,0.4774
418,2020,All,Alaska,All,All,All,All,All,Rural,37859.0,42692.166667,17169.0,0.4535
419,2020,All,Alaska,All,All,All,All,All,Urban,39270.0,44299.5,19780.0,0.5037
420,2020,0-64,Alaska,All,All,All,All,0-64,All,9565.0,10744.5,5753.0,0.6015
421,2020,65-74,Alaska,All,All,All,All,65-74,All,43622.0,50490.833333,19648.0,0.4504
422,2020,75-84,Alaska,All,All,All,All,75-84,All,20474.0,22439.416667,9748.0,0.4761
423,2020,85 and over,Alaska,All,All,All,All,85 and over,All,6274.0,6560.5,3015.0,0.4806
424,2020,All,Alaska,All,All,All,Aged,All,All,70025.0,79167.583333,32243.0,0.4604
425,2020,All,Alaska,All,All,All,Disabled,All,All,9182.0,10392.666667,5550.0,0.6044
426,2020,All,Alaska,All,All,All,ESRD,All,All,728.0,675.0,371.0,0.5096
427,2020,All,Alaska,All,All,Female,All,All,All,42164.0,45509.166667,21412.0,0.5078
428,2020,All,Alaska,All,All,Male,All,All,All,37771.0,44726.083333,16752.0,0.4435
429,2020,All,Alaska,All,American Indian/Alaska Native,All,All,All,All,10257.0,11080.5,5959.0,0.581
430,2020,All,Alaska,All,Asian/Pacific Islander,All,All,All,All,3202.0,3791.6666667,1386.0,0.4329
431,2020,All,Alaska,All,Black/African American,All,All,All,All,1929.0,2313.6666667,1043.0,0.5407
432,2020,All,Alaska,All,Hispanic,All,All,All,All,2046.0,2474.9166667,982.0,0.48
433,2020,All,Alaska,All,Non-Hispanic White,All,All,All,All,59624.0,67173.0,27508.0,0.4614
434,2020,All,Alaska,Medicare & Medicaid,All,All,All,All,All,18320.0,19618.916667,10415.0,0.5685
435,2020,All,Alaska,Medicare Only,All,All,All,All,All,61615.0,70616.333333,27749.0,0.4504
512,2021,All,Alaska,All,All,All,All,All,All,84322.0,93229.166667,30066.0,0.3566
513,2021,All,Alaska,All,All,All,All,All,Rural,40294.0,44367.333333,13980.0,0.3469
514,2021,All,Alaska,All,All,All,All,All,Urban,41114.0,45565.083333,15139.0,0.3682
515,2021,0-64,Alaska,All,All,All,All,0-64,All,9451.0,10453.333333,4865.0,0.5148
516,2021,65-74,Alaska,All,All,All,All,65-74,All,46285.0,52241.75,15279.0,0.3301
517,2021,75-84,Alaska,All,All,All,All,75-84,All,22076.0,23839.166667,7553.0,0.3421
518,2021,85 and over,Alaska,All,All,All,All,85 and over,All,6510.0,6694.9166667,2369.0,0.3639
519,2021,All,Alaska,All,All,All,Aged,All,All,74502.0,82434.916667,25054.0,0.3363
520,2021,All,Alaska,All,All,All,Disabled,All,All,9078.0,10102.416667,4696.0,0.5173
521,2021,All,Alaska,All,All,All,ESRD,All,All,742.0,691.83333333,316.0,0.4259
522,2021,All,Alaska,All,All,Female,All,All,All,44548.0,47171.333333,17190.0,0.3859
523,2021,All,Alaska,All,All,Male,All,All,All,39774.0,46057.833333,12876.0,0.3237
524,2021,All,Alaska,All,American Indian/Alaska Native,All,All,All,All,10180.0,10837.166667,5082.0,0.4992
525,2021,All,Alaska,All,Asian/Pacific Islander,All,All,All,All,3408.0,3915.3333333,927.0,0.272
526,2021,All,Alaska,All,Black/African American,All,All,All,All,2021.0,2391.5,816.0,0.4038
527,2021,All,Alaska,All,Hispanic,All,All,All,All,2165.0,2562.9166667,702.0,0.3242
528,2021,All,Alaska,All,Non-Hispanic White,All,All,All,All,63174.0,69710.083333,21434.0,0.3393
529,2021,All,Alaska,Medicare & Medicaid,All,All,All,All,All,19061.0,20165.916667,8898.0,0.4668
530,2021,All,Alaska,Medicare Only,All,All,All,All,All,65261.0,73063.25,21168.0,0.3244
607,2022,All,Alaska,All,All,All,All,All,All,87220.0,95795.833333,26750.0,0.3067
608,2022,All,Alaska,All,All,All,All,All,Rural,41664.0,45731.0,13282.0,0.3188
609,2022,All,Alaska,All,All,All,All,All,Urban,42499.0,46663.666667,12470.0,0.2934
610,2022,0-64,Alaska,All,All,All,All,0-64,All,9171.0,10175.0,3929.0,0.4284
611,2022,65-74,Alaska,All,All,All,All,65-74,All,47642.0,53299.666667,13681.0,0.2872
612,2022,75-84,Alaska,All,All,All,All,75-84,All,23657.0,25466.916667,7088.0,0.2996
613,2022,85 and over,Alaska,All,All,All,All,85 and over,All,6750.0,6854.25,2052.0,0.304
614,2022,All,Alaska,All,All,All,Aged,All,All,77671.0,85275.0,22683.0,0.292
615,2022,All,Alaska,All,All,All,Disabled,All,All,8793.0,9818.9166667,3780.0,0.4299
616,2022,All,Alaska,All,All,All,ESRD,All,All,756.0,701.91666667,287.0,0.3796
617,2022,All,Alaska,All,All,Female,All,All,All,46220.0,48611.25,15361.0,0.3323
618,2022,All,Alaska,All,All,Male,All,All,All,41000.0,47184.583333,11389.0,0.2778
619,2022,All,Alaska,All,American Indian/Alaska Native,All,All,All,All,10015.0,10659.416667,4234.0,0.4228
620,2022,All,Alaska,All,Asian/Pacific Islander,All,All,All,All,3552.0,4073.6666667,681.0,0.1917
621,2022,All,Alaska,All,Black/African American,All,All,All,All,2071.0,2419.0,646.0,0.3119
622,2022,All,Alaska,All,Hispanic,All,All,All,All,2319.0,2707.25,563.0,0.2428
623,2022,All,Alaska,All,Non-Hispanic White,All,All,All,All,65500.0,71707.416667,19519.0,0.298
624,2022,All,Alaska,Medicare & Medicaid,All,All,All,All,All,19905.0,21065.833333,7421.0,0.3728
625,2022,All,Alaska,Medicare Only,All,All,All,All,All,67315.0,74730.0,19329.0,0.2871
702,2023,All,Alaska,All,All,All,All,All,All,89698.0,98578.5,22864.0,0.2549
703,2023,All,Alaska,All,All,All,All,All,Rural,42995.0,47166.666667,11911.0,0.277
704,2023,All,Alaska,All,All,All,All,All,Urban,43592.0,47930.333333,10009.0,0.2296
705,2023,0-64,Alaska,All,All,All,All,0-64,All,8791.0,9731.4166667,3172.0,0.3608
706,2023,65-74,Alaska,All,All,All,All,65-74,All,48945.0,54627.5,11597.0,0.2369
707,2023,75-84,Alaska,All,All,All,All,75-84,All,25049.0,27186.083333,6359.0,0.2539
708,2023,85 and over,Alaska,All,All,All,All,85 and over,All,6913.0,7033.5,1736.0,0.2511
709,2023,All,Alaska,All,All,All,Aged,All,All,80541.0,88504.333333,19574.0,0.243
710,2023,All,Alaska,All,All,All,Disabled,All,All,8431.0,9402.0833333,3058.0,0.3627
711,2023,All,Alaska,All,All,All,ESRD,All,All,726.0,672.08333333,232.0,0.3196
712,2023,All,Alaska,All,All,Female,All,All,All,47489.0,50127.083333,13108.0,0.276
713,2023,All,Alaska,All,All,Male,All,All,All,42209.0,48451.416667,9756.0,0.2311
714,2023,All,Alaska,All,American Indian/Alaska Native,All,All,All,All,9747.0,10353.0,3609.0,0.3703
715,2023,All,Alaska,All,Asian/Pacific Islander,All,All,All,All,3589.0,4209.75,509.0,0.1418
716,2023,All,Alaska,All,Black/African American,All,All,All,All,2059.0,2456.0833333,504.0,0.2448
717,2023,All,Alaska,All,Hispanic,All,All,All,All,2433.0,2857.0,455.0,0.187
718,2023,All,Alaska,All,Non-Hispanic White,All,All,All,All,67186.0,73579.75,16596.0,0.247
719,2023,All,Alaska,Medicare & Medicaid,All,All,All,All,All,20255.0,21548.333333,6506.0,0.3212
720,2023,All,Alaska,Medicare Only,All,All,All,All,All,69443.0,77030.166667,16358.0,0.2356
835,2020,All,Arizona,All,All,All,All,All,All,649607.0,683404.66667,330868.0,0.5093
836,2020,All,Arizona,All,All,All,All,All,Rural,97867.0,106532.25,43229.0,0.4417
837,2020,All,Arizona,All,All,All,All,All,Urban,550378.0,575308.75,287125.0,0.5217
838,2020,0-64,Arizona,All,All,All,All,0-64,All,48958.0,52086.25,28659.0,0.5854
839,2020,65-74,Arizona,All,All,All,All,65-74,All,338538.0,362395.41667,165467.0,0.4888
840,2020,75-84,Arizona,All,All,All,All,75-84,All,193930.0,200868.83333,102053.0,0.5262
841,2020,85 and over,Arizona,All,All,All,All,85 and over,All,68181.0,68054.166667,34689.0,0.5088
842,2020,All,Arizona,All,All,All,Aged,All,All,596667.0,627803.33333,299260.0,0.5016
843,2020,All,Arizona,All,All,All,Disabled,All,All,45147.0,48680.333333,25855.0,0.5727
844,2020,All,Arizona,All,All,All,ESRD,All,All,7793.0,6921.0,5753.0,0.7382
845,2020,All,Arizona,All,All,Female,All,All,All,355477.0,364114.66667,187690.0,0.528
846,2020,All,Arizona,All,All,Male,All,All,All,294130.0,319290.0,143178.0,0.4868
847,2020,All,Arizona,All,American Indian/Alaska Native,All,All,All,All,23710.0,24147.75,14572.0,0.6146
848,2020,All,Arizona,All,Asian/Pacific Islander,All,All,All,All,9924.0,10926.333333,4750.0,0.4786
849,2020,All,Arizona,All,Black/African American,All,All,All,All,14765.0,16059.75,8364.0,0.5665
850,2020,All,Arizona,All,Hispanic,All,All,All,All,50365.0,57038.916667,25632.0,0.5089
851,2020,All,Arizona,All,Non-Hispanic White,All,All,All,All,532822.0,556164.75,268651.0,0.5042
852,2020,All,Arizona,Medicare & Medicaid,All,All,All,All,All,77002.0,78043.416667,42556.0,0.5527
853,2020,All,Arizona,Medicare Only,All,All,All,All,All,572605.0,605361.25,288312.0,0.5035
930,2021,All,Arizona,All,All,All,All,All,All,636569.0,662877.66667,252124.0,0.3961
931,2021,All,Arizona,All,All,All,All,All,Rural,94056.0,100616.58333,32447.0,0.345
932,2021,All,Arizona,All,All,All,All,All,Urban,541220.0,560808.25,219295.0,0.4052
933,2021,0-64,Arizona,All,All,All,All,0-64,All,41967.0,44824.5,22463.0,0.5353
934,2021,65-74,Arizona,All,All,All,All,65-74,All,329537.0,347727.66667,123791.0,0.3757
935,2021,75-84,Arizona,All,All,All,All,75-84,All,198446.0,204233.08333,80019.0,0.4032
936,2021,85 and over,Arizona,All,All,All,All,85 and over,All,66619.0,66092.416667,25851.0,0.388
937,2021,All,Arizona,All,All,All,Aged,All,All,591090.0,615029.08333,227481.0,0.3849
938,2021,All,Arizona,All,All,All,Disabled,All,All,38841.0,42184.333333,20618.0,0.5308
939,2021,All,Arizona,All,All,All,ESRD,All,All,6638.0,5664.25,4025.0,0.6064
940,2021,All,Arizona,All,All,Female,All,All,All,349314.0,354621.41667,144461.0,0.4136
941,2021,All,Arizona,All,All,Male,All,All,All,287255.0,308256.25,107663.0,0.3748
942,2021,All,Arizona,All,American Indian/Alaska Native,All,All,All,All,21746.0,21642.333333,10800.0,0.4966
943,2021,All,Arizona,All,Asian/Pacific Islander,All,All,All,All,9993.0,10828.75,3656.0,0.3659
944,2021,All,Arizona,All,Black/African American,All,All,All,All,14020.0,15167.666667,6471.0,0.4616
945,2021,All,Arizona,All,Hispanic,All,All,All,All,47209.0,53275.833333,18562.0,0.3932
946,2021,All,Arizona,All,Non-Hispanic White,All,All,All,All,524723.0,542236.58333,205535.0,0.3917
947,2021,All,Arizona,Medicare & Medicaid,All,All,All,All,All,70020.0,71026.75,33370.0,0.4766
948,2021,All,Arizona,Medicare Only,All,All,All,All,All,566549.0,591850.91667,218754.0,0.3861
1025,2022,All,Arizona,All,All,All,All,All,All,621189.0,645969.08333,202388.0,0.3258
1026,2022,All,Arizona,All,All,All,All,All,Rural,88368.0,94392.083333,25161.0,0.2847
1027,2022,All,Arizona,All,All,All,All,All,Urban,531645.0,550208.08333,176972.0,0.3329
1028,2022,0-64,Arizona,All,All,All,All,0-64,All,36488.0,39355.833333,17224.0,0.472
1029,2022,65-74,Arizona,All,All,All,All,65-74,All,312788.0,329361.58333,97775.0,0.3126
1030,2022,75-84,Arizona,All,All,All,All,75-84,All,205370.0,211414.58333,67208.0,0.3273
1031,2022,85 and over,Arizona,All,All,All,All,85 and over,All,66543.0,65837.083333,20181.0,0.3033
1032,2022,All,Arizona,All,All,All,Aged,All,All,581498.0,603823.75,183495.0,0.3156
1033,2022,All,Arizona,All,All,All,Disabled,All,All,33739.0,37030.666667,15926.0,0.472
1034,2022,All,Arizona,All,All,All,ESRD,All,All,5952.0,5114.6666667,2967.0,0.4985
1035,2022,All,Arizona,All,All,Female,All,All,All,341984.0,347006.16667,116676.0,0.3412
1036,2022,All,Arizona,All,All,Male,All,All,All,279205.0,298962.91667,85712.0,0.307
1037,2022,All,Arizona,All,American Indian/Alaska Native,All,All,All,All,19899.0,19721.333333,6738.0,0.3386
1038,2022,All,Arizona,All,Asian/Pacific Islander,All,All,All,All,10149.0,10946.333333,2841.0,0.2799
1039,2022,All,Arizona,All,Black/African American,All,All,All,All,13354.0,14453.416667,5031.0,0.3767
1040,2022,All,Arizona,All,Hispanic,All,All,All,All,44759.0,50776.583333,14173.0,0.3167
1041,2022,All,Arizona,All,Non-Hispanic White,All,All,All,All,513469.0,529651.5,167358.0,0.3259
1042,2022,All,Arizona,Medicare & Medicaid,All,All,All,All,All,65902.0,67044.666667,25526.0,0.3873
1043,2022,All,Arizona,Medicare Only,All,All,All,All,All,555287.0,578924.41667,176862.0,0.3185
1120,2023,All,Arizona,All,All,All,All,All,All,612508.0,635802.0,165386.0,0.27
1121,2023,All,Arizona,All,All,All,All,All,Rural,96787.0,103244.0,23153.0,0.2392
1122,2023,All,Arizona,All,All,All,All,All,Urban,513522.0,530107.58333,141694.0,0.2759
1123,2023,0-64,Arizona,All,All,All,All,0-64,All,33811.0,35572.583333,13232.0,0.3914
1124,2023,65-74,Arizona,All,All,All,All,65-74,All,302287.0,317593.75,78335.0,0.2591
1125,2023,75-84,Arizona,All,All,All,All,75-84,All,209376.0,216208.16667,56974.0,0.2721
1126,2023,85 and over,Arizona,All,All,All,All,85 and over,All,67034.0,66427.5,16845.0,0.2513
1127,2023,All,Arizona,All,All,All,Aged,All,All,575599.0,597546.0,150822.0,0.262
1128,2023,All,Arizona,All,All,All,Disabled,All,All,31159.0,33419.916667,12177.0,0.3908
1129,2023,All,Arizona,All,All,All,ESRD,All,All,5750.0,4836.0833333,2387.0,0.4151
1130,2023,All,Arizona,All,All,Female,All,All,All,337532.0,341994.66667,95136.0,0.2819
1131,2023,All,Arizona,All,All,Male,All,All,All,274976.0,293807.33333,70250.0,0.2555
1132,2023,All,Arizona,All,American Indian/Alaska Native,All,All,All,All,18406.0,18574.666667,4543.0,0.2468
1133,2023,All,Arizona,All,Asian/Pacific Islander,All,All,All,All,10210.0,10996.25,2293.0,0.2246
1134,2023,All,Arizona,All,Black/African American,All,All,All,All,13026.0,13961.333333,4019.0,0.3085
1135,2023,All,Arizona,All,Hispanic,All,All,All,All,44654.0,50222.25,10318.0,0.2311
1136,2023,All,Arizona,All,Non-Hispanic White,All,All,All,All,503858.0,519370.0,138487.0,0.2749
1137,2023,All,Arizona,Medicare & Medicaid,All,All,All,All,All,66069.0,66075.0,19640.0,0.2973
1138,2023,All,Arizona,Medicare Only,All,All,All,All,All,546439.0,569727.0,145746.0,0.2667
1253,2020,All,Arkansas,All,All,All,All,All,All,395264.0,408027.75,156778.0,0.3966
1254,2020,All,Arkansas,All,All,All,All,All,Rural,180185.0,186186.33333,66119.0,0.367
1255,2020,All,Arkansas,All,All,All,All,All,Urban,213120.0,219810.16667,89950.0,0.4221
1256,2020,0-64,Arkansas,All,All,All,All,0-64,All,63100.0,66026.583333,28585.0,0.453
1257,2020,65-74,Arkansas,All,All,All,All,65-74,All,177033.0,185371.0,65296.0,0.3688
1258,2020,75-84,Arkansas,All,All,All,All,75-84,All,109853.0,112081.33333,44219.0,0.4025
1259,2020,85 and over,Arkansas,All,All,All,All,85 and over,All,45278.0,44548.833333,18678.0,0.4125
1260,2020,All,Arkansas,All,All,All,Aged,All,All,329948.0,339994.41667,127029.0,0.385
1261,2020,All,Arkansas,All,All,All,Disabled,All,All,60495.0,63619.916667,27312.0,0.4515
1262,2020,All,Arkansas,All,All,All,ESRD,All,All,4821.0,4413.4166667,2437.0,0.5055
1263,2020,All,Arkansas,All,All,Female,All,All,All,224218.0,224710.25,94070.0,0.4195
1264,2020,All,Arkansas,All,All,Male,All,All,All,171046.0,183317.5,62708.0,0.3666
1265,2020,All,Arkansas,All,American Indian/Alaska Native,All,All,All,All,1364.0,1384.5,617.0,0.4523
1266,2020,All,Arkansas,All,Asian/Pacific Islander,All,All,All,All,2195.0,2501.5833333,696.0,0.3171
1267,2020,All,Arkansas,All,Black/African American,All,All,All,All,38751.0,40518.416667,16128.0,0.4162
1268,2020,All,Arkansas,All,Hispanic,All,All,All,All,5090.0,5823.6666667,1745.0,0.3428
1269,2020,All,Arkansas,All,Non-Hispanic White,All,All,All,All,343122.0,352732.16667,135809.0,0.3958
1270,2020,All,Arkansas,Medicare & Medicaid,All,All,All,All,All,77453.0,75545.25,34705.0,0.4481
1271,2020,All,Arkansas,Medicare Only,All,All,All,All,All,317811.0,332482.5,122073.0,0.3841
1348,2021,All,Arkansas,All,All,All,All,All,All,377084.0,384759.83333,104748.0,0.2778
1349,2021,All,Arkansas,All,All,All,All,All,Rural,170508.0,174120.66667,43118.0,0.2529
1350,2021,All,Arkansas,All,All,All,All,All,Urban,204762.0,208782.0,61081.0,0.2983
1351,2021,0-64,Arkansas,All,All,All,All,0-64,All,55324.0,57316.5,20434.0,0.3694
1352,2021,65-74,Arkansas,All,All,All,All,65-74,All,170112.0,175674.58333,42446.0,0.2495
1353,2021,75-84,Arkansas,All,All,All,All,75-84,All,108859.0,110066.33333,29523.0,0.2712
1354,2021,85 and over,Arkansas,All,All,All,All,85 and over,All,42789.0,41702.416667,12345.0,0.2885
1355,2021,All,Arkansas,All,All,All,Aged,All,All,319792.0,325730.66667,83510.0,0.2611
1356,2021,All,Arkansas,All,All,All,Disabled,All,All,53148.0,55462.0,19555.0,0.3679
1357,2021,All,Arkansas,All,All,All,ESRD,All,All,4144.0,3567.1666667,1683.0,0.4061
1358,2021,All,Arkansas,All,All,Female,All,All,All,213942.0,211983.66667,63426.0,0.2965
1359,2021,All,Arkansas,All,All,Male,All,All,All,163142.0,172776.16667,41322.0,0.2533
1360,2021,All,Arkansas,All,American Indian/Alaska Native,All,All,All,All,1191.0,1203.0,396.0,0.3325
1361,2021,All,Arkansas,All,Asian/Pacific Islander,All,All,All,All,2232.0,2459.9166667,449.0,0.2012
1362,2021,All,Arkansas,All,Black/African American,All,All,All,All,35001.0,36015.416667,10749.0,0.3071
1363,2021,All,Arkansas,All,Hispanic,All,All,All,All,5019.0,5659.1666667,1207.0,0.2405
1364,2021,All,Arkansas,All,Non-Hispanic White,All,All,All,All,328797.0,334286.58333,90596.0,0.2755
1365,2021,All,Arkansas,Medicare & Medicaid,All,All,All,All,All,69822.0,67503.416667,24566.0,0.3518
1366,2021,All,Arkansas,Medicare Only,All,All,All,All,All,307262.0,317256.41667,80182.0,0.261
1443,2022,All,Arkansas,All,All,All,All,All,All,361091.0,366423.41667,90094.0,0.2495
1444,2022,All,Arkansas,All,All,All,All,All,Rural,161826.0,164065.25,34839.0,0.2153
1445,2022,All,Arkansas,All,All,All,All,All,Urban,197640.0,200683.66667,54870.0,0.2776
1446,2022,0-64,Arkansas,All,All,All,All,0-64,All,47852.0,49150.583333,15271.0,0.3191
1447,2022,65-74,Arkansas,All,All,All,All,65-74,All,161611.0,165772.83333,36929.0,0.2285
1448,2022,75-84,Arkansas,All,All,All,All,75-84,All,109843.0,110974.0,27319.0,0.2487
1449,2022,85 and over,Arkansas,All,All,All,All,85 and over,All,41785.0,40526.0,10575.0,0.2531
1450,2022,All,Arkansas,All,All,All,Aged,All,All,311402.0,315661.91667,74167.0,0.2382
1451,2022,All,Arkansas,All,All,All,Disabled,All,All,46018.0,47604.416667,14643.0,0.3182
1452,2022,All,Arkansas,All,All,All,ESRD,All,All,3671.0,3157.0833333,1284.0,0.3498
1453,2022,All,Arkansas,All,All,Female,All,All,All,204778.0,202191.25,54466.0,0.266
1454,2022,All,Arkansas,All,All,Male,All,All,All,156313.0,164232.16667,35628.0,0.2279
1455,2022,All,Arkansas,All,American Indian/Alaska Native,All,All,All,All,1044.0,1076.8333333,305.0,0.2921
